DOMESTIC FLIGHTS QUARTERLY NET INCOME,LATIN AMERICA FLIGHTS QUARTERLY NET INCOME,ATLANTIC FLIGHTS QUARTERLY NET INCOME,PACIFIC FLIGHTS QUARTERLY NET INCOME,INTERNATIONAL FLIGHTS QUARTERLY NET INCOME,TOTAL,U.S. Gulf Coast Kerosene-Type Jet Fuel Spot Price FOB in U.S. Dollars per Gallon,Total Dom. Passenger Flights,Total Intl. Passenger Flights,Total Passenger Flights,Total Dom. Passenger Enplanements,Total Intl. Passenger Enplanements,Total Passenger Enplanements,Total Dom. Revenue Miles,Total Intl Revenue Miles,Total Revenue Miles,Total Dom. Revenue Seat Miles,Total Intl Revenue Seat Miles,Total Revenue Seat Miles,Total Dom. Freight Ton Miles,Total Intl Freight Ton Miles,Total Freight Ton Miles,Total Dom. Revenue Ton Miles,Total Intl Revenue Ton Miles,Total Revenue Ton Miles,PERIOD
139162,58927,-68918,-106308,839,23702,0.78165,623794,51459,675253.0,954,10423,11377.0,34933923,14111488,49045411.0,56316092,20933627,77249719.0,136488,419356,555844.0,3778739,1865954,5644693.0,January 2000
139162,58927,-68918,-106308,839,23702,0.78095,605936,49157,655093.0,985,10639,11624.0,36023970,13282332,49306302.0,54354846,19604814,73959660.0,154167,469782,623949.0,3903013,1834110,5737123.0,February 2000
139162,58927,-68918,-106308,839,23702,0.7685000000000002,667027,54263,721290.0,1060,11598,12658.0,43912920,16530620,60443540.0,59927517,21457740,81385257.0,177053,529229,706282.0,4725110,2221637,6946747.0,March 2000
1570500,-86040,250371,154724,9541,1899096,0.7195,635767,52826,688593.0,1143,10558,11701.0,41963837,16322844,58286681.0,57418335,21659049,79077384.0,167926,497904,665830.0,4514532,2166316,6680848.0,April 2000
1570500,-86040,250371,154724,9541,1899096,0.7634090909090911,672835,55358,728193.0,1095,12209,13304.0,43178325,17355458,60533783.0,58913633,22641340,81554973.0,175368,500130,675498.0,4636425,2272133,6908558.0,May 2000
1570500,-86040,250371,154724,9541,1899096,0.785904761904762,660912,56447,717359.0,1104,11702,12806.0,45884524,19018771,64903295.0,58325629,23130870,81456499.0,173184,512480,685664.0,4901829,2451432,7353261.0,June 2000
548903,33056,226224,83675,45470,937327,0.7967500000000001,686087,61538,747625.0,1159,11701,12860.0,47356809,19989567,67346376.0,61336221,24974349,86310570.0,160901,521669,682570.0,5032906,2557067,7589973.0,July 2000
548903,33056,226224,83675,45470,937327,0.908608695652174,693389,59636,753025.0,1293,12577,13870.0,46508833,19747971,66256804.0,61565807,24420393,85986200.0,161349,497316,658665.0,4954528,2509788,7464316.0,August 2000
548903,33056,226224,83675,45470,937327,1.0176315789473684,658714,54114,712828.0,1350,12888,14238.0,38401788,17498717,55900505.0,57957097,22531907,80489004.0,157954,516310,674264.0,4138747,2305637,6444384.0,September 2000
-267068,6639,-95916,5533,23388,-327425,0.9813043478260868,693367,54140,747507.0,1407,12798,14205.0,41849020,16524976,58373996.0,60819617,22374044,83193661.0,175036,559898,734934.0,4513341,2254208,6767549.0,October 2000
-267068,6639,-95916,5533,23388,-327425,1.029190476190476,657910,53683,711593.0,1561,12228,13789.0,40735836,14854490,55590326.0,57811533,21016445,78827978.0,158709,521647,680356.0,4390400,2050659,6441059.0,November 2000
-267068,6639,-95916,5533,23388,-327425,0.8573157894736843,646848,56696,703544.0,1945,11775,13720.0,39689934,15133036,54822970.0,57947008,21704330,79651338.0,133922,491040,624962.0,4268513,2061784,6330297.0,December 2000
-822384,76822,-59644,-101160,-3410,-909776,0.8680454545454545,678384,58766,737150.0,10324,11594,21918.0,37217797,15416557,52634354.0,59844323,22188837,82033160.0,137339,434154,571493.0,4015236,2013997,6029233.0,January 2001
-822384,76822,-59644,-101160,-3410,-909776,0.8114210526315789,614581,53910,668491.0,9579,11169,20748.0,35815598,13716979,49532577.0,54371155,20264556,74635711.0,135172,465327,600499.0,3847554,1871764,5719318.0,February 2001
-822384,76822,-59644,-101160,-3410,-909776,0.7474761904761904,683429,60196,743625.0,11582,12258,23840.0,44244542,17330512,61575054.0,60530306,22741850,83272156.0,154095,525271,679366.0,4725576,2299377,7024953.0,March 2001
-774977,3683,116147,-205108,-62860,-923115,0.7717619047619046,653498,57968,711466.0,10484,11447,21931.0,42484030,16667615,59151645.0,59026085,22871450,81897535.0,138602,469250,607852.0,4526524,2174177,6700701.0,April 2001
-774977,3683,116147,-205108,-62860,-923115,0.8185909090909089,674855,58550,733405.0,11298,12525,23823.0,42614253,17048164,59662417.0,61018475,23423897,84442372.0,155557,486748,642305.0,4559695,2229763,6789458.0,May 2001
-774977,3683,116147,-205108,-62860,-923115,0.7667499999999998,656502,58795,715297.0,11169,12723,23892.0,45442917,18910405,64353322.0,60437986,23277888,83715874.0,144668,469924,614592.0,4821235,2398848,7220083.0,June 2001
-2232653,-6375,-44209,-272018,-4848,-2560103,0.7122272727272727,694307,61716,756023.0,11143,12259,23402.0,48237149,19728091,67965240.0,63671667,24861556,88533223.0,136247,450705,586952.0,5087447,2459610,7547057.0,July 2001
-2232653,-6375,-44209,-272018,-4848,-2560103,0.766,707693,61835,769528.0,12827,12691,25518.0,48739008,19637604,68376612.0,64307854,24332954,88640808.0,149058,443436,592494.0,5146571,2445287,7591858.0,August 2001
-2232653,-6375,-44209,-272018,-4848,-2560103,0.73315,527879,45463,573342.0,8539,10720,19259.0,26292388,12309329,38601717.0,47158988,18832785,65991773.0,105239,380564,485803.0,2788873,1629645,4418518.0,September 2001
-3404841,-63631,-194802,-190370,-19871,-3873515,0.618913043478261,588541,47896,636437.0,11246,12535,23781.0,33488158,10476611,43964769.0,51694704,18442401,70137105.0,130852,429564,560416.0,3548832,1505484,5054316.0,October 2001
-3404841,-63631,-194802,-190370,-19871,-3873515,0.5411052631578948,563151,45683,608834.0,11093,12110,23203.0,34094522,10821241,44915763.0,50025401,17115621,67141022.0,125448,404263,529711.0,3605065,1519796,5124861.0,November 2001
-3404841,-63631,-194802,-190370,-19871,-3873515,0.515,581089,48989,630078.0,11611,11617,23228.0,34954325,12864793,47819118.0,52191798,17958589,70150387.0,124774,371035,495809.0,3687973,1704365,5392338.0,December 2001
-2621918,-176148,-372012,-89470,9187,-3250361,0.5338181818181819,616951,50285,667236.0,12635,12059,24694.0,33057861,13166169,46224030.0,52631569,18253569,70885138.0,122003,338671,460674.0,3512437,1686467,5198904.0,January 2002
-2621918,-176148,-372012,-89470,9187,-3250361,0.5530526315789474,575447,46476,621923.0,12821,11171,23992.0,32687009,11917145,44604154.0,48898074,16542548,65440622.0,124281,369522,493803.0,3469295,1590696,5059991.0,February 2002
-2621918,-176148,-372012,-89470,9187,-3250361,0.6354500000000001,644344,53272,697616.0,15532,12709,28241.0,41550116,15347607,56897723.0,55720475,18962638,74683113.0,148279,448609,596888.0,4391896,2017088,6408984.0,March 2002
-1298581,-44110,-43360,-49899,-33900,-1469850,0.6677727272727272,629919,51596,681515.0,14437,12624,27061.0,38562404,13979759,52542163.0,54581493,19052236,73633729.0,146719,429198,575917.0,4081821,1859043,5940864.0,April 2002
-1298581,-44110,-43360,-49899,-33900,-1469850,0.6662857142857144,644665,53619,698284.0,16370,13013,29383.0,39986109,15129952,55116061.0,56330296,20144540,76474836.0,161605,445440,607045.0,4236691,1992161,6228852.0,May 2002
-1298581,-44110,-43360,-49899,-33900,-1469850,0.6543809523809523,649321,54800,704121.0,16772,12534,29306.0,43093890,16651444,59745334.0,57361487,20514379,77875866.0,160251,462512,622763.0,4539572,2159920,6699492.0,June 2002
-2351704,-67435,-38578,-64051,27239,-2494531,0.6906190476190476,684401,57741,742142.0,17393,13509,30902.0,45467897,17196607,62664504.0,60070478,21463565,81534043.0,155861,450047,605908.0,4765631,2201176,6966807.0,July 2002
-2351704,-67435,-38578,-64051,27239,-2494531,0.7248571428571431,692040,56975,749015.0,18535,13164,31699.0,45608676,17336126,62944802.0,60222319,21483641,81705960.0,154015,426529,580544.0,4769298,2193278,6962576.0,August 2002
-2351704,-67435,-38578,-64051,27239,-2494531,0.8024285714285714,637110,50871,687981.0,15518,12186,27704.0,34344417,14751616,49096033.0,54576931,19894002,74470933.0,149768,441904,591672.0,3631419,1948233,5579652.0,September 2002
-3056898,-149090,-575563,-288296,-80895,-4150742,0.785304347826087,824984,58479,883463.0,54005,16455,70460.0,39456884,14562865,54019749.0,58076955,20207662,78284617.0,184963,520510,705473.0,4187094,2012053,6199147.0,October 2002
-3056898,-149090,-575563,-288296,-80895,-4150742,0.7060555555555554,775709,58474,834183.0,49180,14837,64017.0,36714419,13390814,50105233.0,55060801,19223858,74284659.0,161035,484405,645440.0,3897318,1860475,5757793.0,November 2002
-3056898,-149090,-575563,-288296,-80895,-4150742,0.811095238095238,789620,63996,853616.0,53352,14015,67367.0,41810444,14846151,56656595.0,57393693,20115819,77509512.0,145388,413608,558996.0,4399761,1948327,6348088.0,December 2002
-1085012,-51869,-452157,-330213,-1673,-1920924,0.8867142857142858,793293,64942,858235.0,48270,14490,62760.0,36642575,14554599,51197174.0,56865749,20538397,77404146.0,137763,377573,515336.0,3877916,1866858,5744774.0,January 2003
-1085012,-51869,-452157,-330213,-1673,-1920924,1.0554210526315788,698464,58446,756910.0,44724,14035,58759.0,34566095,12474711,47040806.0,50718832,18250111,68968943.0,140278,415670,555948.0,3660800,1693695,5354495.0,February 2003
-1085012,-51869,-452157,-330213,-1673,-1920924,0.8858636363636365,806128,67219,873347.0,48119,15169,63288.0,42274714,14491134,56765848.0,58286148,20552676,78838824.0,160419,461122,621541.0,4455841,1944817,6400658.0,March 2003
606461,100285,168328,-227315,-340,647420,0.741142857142857,774640,62138,836778.0,49749,15201,64950.0,39897898,11959281,51857179.0,55239973,18128577,73368550.0,154489,372361,526850.0,4221962,1603005,5824967.0,April 2003
606461,100285,168328,-227315,-340,647420,0.71525,799861,61524,861385.0,48857,15219,64076.0,41373283,12962314,54335597.0,55907280,17801325,73708605.0,155509,370984,526493.0,4366001,1701290,6067291.0,May 2003
606461,100285,168328,-227315,-340,647420,0.7489999999999999,812510,64640,877150.0,47570,14388,61958.0,44943033,15329868,60272901.0,57163710,19155032,76318742.0,152009,380119,532128.0,4710404,1944697,6655101.0,June 2003
-642496,129566,290670,-51195,7554,-265900,0.7830000000000001,847914,70288,918202.0,50278,15513,65791.0,48780278,17181936,65962214.0,60230761,21098648,81329409.0,147637,380974,528611.0,5095392,2131241,7226633.0,July 2003
-642496,129566,290670,-51195,7554,-265900,0.8219,849077,70632,919709.0,51276,15258,66534.0,47474838,17514927,64989765.0,60342689,21401718,81744407.0,150853,372641,523494.0,4961370,2155901,7117271.0,August 2003
-642496,129566,290670,-51195,7554,-265900,0.7408181818181819,795755,59295,855050.0,48146,14972,63118.0,37256711,14864770,52121481.0,55669862,19758563,75428425.0,147104,378212,525316.0,3929576,1896591,5826167.0,September 2003
-348536,107826,109623,-42980,-1997,-176064,0.8212272727272727,829580,59741,889321.0,53567,15967,69534.0,41972213,14752228,56724441.0,58731500,19665804,78397304.0,160683,418027,578710.0,4428384,1927896,6356280.0,October 2003
-348536,107826,109623,-42980,-1997,-176064,0.8305789473684212,776009,60175,836184.0,44591,15260,59851.0,39809852,14318924,54128776.0,56521377,19007873,75529250.0,149480,412336,561816.0,4196663,1878504,6075167.0,November 2003
-348536,107826,109623,-42980,-1997,-176064,0.8790000000000001,806701,64680,871381.0,52260,15215,67475.0,43212550,15527296,58739846.0,59638237,19988549,79626786.0,145018,374060,519078.0,4549039,1972272,6521311.0,December 2003
-1622122,201821,31510,-73884,6499,-1456177,0.9984210526315791,795360,66090,861450.0,46244,14667,60911.0,38622990,15356790,53979780.0,59072246,20613486,79685732.0,133962,355270,489232.0,4069639,1922729,5992368.0,January 2004
-1622122,201821,31510,-73884,6499,-1456177,0.9371499999999999,769947,63472,833419.0,43901,14903,58804.0,39103109,14076576,53179685.0,56913494,19656781,76570275.0,144349,414260,558609.0,4116946,1853388,5970334.0,February 2004
-1622122,201821,31510,-73884,6499,-1456177,0.9413478260869567,844241,68956,913197.0,48150,16877,65027.0,47150438,16885425,64035863.0,62701957,21332789,84034746.0,169957,467534,637491.0,4942112,2189307,7131419.0,March 2004
-2018851,42467,115648,-61035,6648,-1915125,0.9774499999999999,828140,67597,895737.0,47713,15972,63685.0,46390540,15949576,62340116.0,60864078,20812675,81676753.0,159118,430462,589580.0,4859251,2057727,6916978.0,April 2004
-2018851,42467,115648,-61035,6648,-1915125,1.090857142857143,844989,68879,913868.0,45957,15722,61679.0,45789477,16741227,62530704.0,61545698,21805282,83350980.0,166762,460611,627373.0,4804550,2167517,6972067.0,May 2004
-2018851,42467,115648,-61035,6648,-1915125,1.0343809523809524,851512,71222,922734.0,48216,16236,64452.0,50251849,18614540,68866389.0,62312322,22588364,84900686.0,167337,454683,622020.0,5245956,2348151,7594107.0,June 2004
-1702368,38782,331619,94637,113802,-1123527,1.146,888249,78017,966266.0,48277,16333,64610.0,53253581,20082308,73335889.0,64832135,24390478,89222613.0,159679,461964,621643.0,5540388,2502388,8042776.0,July 2004
-1702368,38782,331619,94637,113802,-1123527,1.2280869565217394,901772,75406,977178.0,48514,16366,64880.0,51287218,19674293,70961511.0,65214596,24391232,89605828.0,160508,456297,616805.0,5340373,2455174,7795547.0,August 2004
-1702368,38782,331619,94637,113802,-1123527,1.3747619047619049,833464,62402,895866.0,48361,16927,65288.0,41034142,16846889,57881031.0,58373874,21847934,80221808.0,155387,468080,623467.0,4309740,2185091,6494831.0,September 2004
-4562813,30756,-71246,-31241,24949,-4609595,1.512904761904762,872598,64099,936697.0,49200,17532,66732.0,46266911,16754211,63021122.0,62429669,21941539,84371208.0,172061,519453,691514.0,4861194,2230209,7091403.0,October 2004
-4562813,30756,-71246,-31241,24949,-4609595,1.3411000000000004,828575,63784,892359.0,45924,17780,63704.0,43925182,15528758,59453940.0,60024107,21000164,81024271.0,160522,490607,651129.0,4619043,2080588,6699631.0,November 2004
-4562813,30756,-71246,-31241,24949,-4609595,1.2230500000000002,843323,70050,913373.0,54292,17333,71625.0,45544428,17135881,62680309.0,62640292,22711439,85351731.0,144349,468481,612830.0,4791983,2233794,7025777.0,December 2004
-2956735,95583,-202866,-179050,35932,-3207135,1.3328095238095237,815089,72832,887921.0,49457,16016,65473.0,41983753,17645854,59629607.0,60205100,23724905,83930005.0,133029,418008,551037.0,4412278,2216520,6628798.0,January 2005
-2956735,95583,-202866,-179050,35932,-3207135,1.3438947368421053,768557,66100,834657.0,49245,15017,64262.0,40480882,15314283,55795165.0,56537903,21337093,77874996.0,138888,445701,584589.0,4248429,2009096,6257525.0,February 2005
-2956735,95583,-202866,-179050,35932,-3207135,1.5735454545454544,876180,77094,953274.0,57776,17306,75082.0,51289218,19306644,70595862.0,64534191,24118763,88652954.0,162025,499305,661330.0,5351454,2464686,7816140.0,March 2005
-1511275,30014,207515,-249681,36266,-1487161,1.5645499999999994,848404,73160,921564.0,52991,17002,69993.0,47408998,17736550,65145548.0,61911568,23288832,85200400.0,144350,458306,602656.0,4936659,2264713,7201372.0,April 2005
-1511275,30014,207515,-249681,36266,-1487161,1.4774545454545454,883909,74671,958580.0,50670,16806,67476.0,49351683,18917216,68268899.0,63710797,24227224,87938021.0,147656,464141,611797.0,5129512,2387192,7516704.0,May 2005
-1511275,30014,207515,-249681,36266,-1487161,1.6585454545454545,876897,76663,953560.0,56004,17841,73845.0,52555831,20397126,72952957.0,63971184,24639581,88610765.0,147358,469853,617211.0,5448592,2540795,7989387.0,June 2005
-2231293,-43150,164743,-293751,70285,-2333166,1.6648,902616,82838,985454.0,52452,16933,69385.0,55711370,21721628,77432998.0,66444868,26077357,92522225.0,136118,476797,612915.0,5751769,2679458,8431227.0,July 2005
-2231293,-43150,164743,-293751,70285,-2333166,1.9057391304347826,906554,79528,986082.0,56404,17505,73909.0,52868268,20910650,73778918.0,65878156,25856107,91734263.0,138590,459309,597899.0,5467754,2582223,8049977.0,August 2005
-2231293,-43150,164743,-293751,70285,-2333166,2.22285,828225,67567,895792.0,53512,17456,70968.0,43846411,18200387,62046798.0,59215512,23853584,83069096.0,140633,489226,629859.0,4567264,2342938,6910202.0,September 2005
-13048233,-802628,-2278672,-4111334,48434,-20192434,2.3721363636363635,842507,66390,908897.0,51840,17364,69204.0,46226519,17414376,63640895.0,60927242,23214950,84142192.0,145426,529113,674539.0,4816691,2306166,7122857.0,October 2005
-13048233,-802628,-2278672,-4111334,48434,-20192434,1.6897000000000002,808501,64582,873083.0,51954,18043,69997.0,45412893,16106091,61518984.0,59335097,21499433,80834530.0,144202,476761,620963.0,4741706,2126075,6867781.0,November 2005
-13048233,-802628,-2278672,-4111334,48434,-20192434,1.7312499999999997,808705,71079,879784.0,58730,17510,76240.0,46502981,17786357,64289338.0,61402694,23334011,84736705.0,135666,470813,606479.0,4851914,2302705,7154619.0,December 2005
12049285,1110214,2966133,4705502,31349,20862482,1.8166666666666669,792581,72600,865181.0,48899,16837,65736.0,43215323,17819704,61035027.0,59534234,23872132,83406366.0,121744,420671,542415.0,4506925,2237297,6744222.0,January 2006
12049285,1110214,2966133,4705502,31349,20862482,1.754421052631579,722845,66646,789491.0,47832,15061,62893.0,41184016,15545196,56729212.0,54119758,21440693,75560451.0,120029,430926,550955.0,4289785,2018986,6308771.0,February 2006
12049285,1110214,2966133,4705502,31349,20862482,1.8764545454545454,832669,77157,909826.0,56319,18803,75122.0,50997603,19802192,70799795.0,62745830,24792942,87538772.0,143157,509113,652270.0,5297631,2528457,7826088.0,March 2006
-642693,42078,83950,-186742,9296,-694110,2.0781,802489,74737,877226.0,50083,16822,66905.0,49064805,19055753,68120558.0,60378251,24276382,84654633.0,138226,469422,607648.0,5094425,2411192,7505617.0,April 2006
-642693,42078,83950,-186742,9296,-694110,2.065909090909091,833390,74743,908133.0,52013,17608,69621.0,49524738,19827867,69352605.0,61629691,25070619,86700310.0,136440,476126,612566.0,5135681,2494816,7630497.0,May 2006
-642693,42078,83950,-186742,9296,-694110,2.0818095238095244,831234,77918,909152.0,54560,18288,72848.0,52419211,21666716,74085927.0,62083974,25838555,87922529.0,136354,495131,631485.0,5420691,2698191,8118882.0,June 2006
